id,title,category,servings,prepMinutes,cookMinutes,ingredients,steps,notes
18,Stir-Fried Shrimp,Lunch,2,19,12,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 12, ""seconds"": 0}]",Automatically generated sample recipe.
19,Slow-Cooked Pork,Dinner,6,10,36,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 36, ""seconds"": 0}]",Automatically generated sample recipe.
20,Roasted Beef,Snack,2,20,34,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 34, ""seconds"": 0}]",Automatically generated sample recipe.
21,Pan-Seared Vegetables,Seafood,4,5,26,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 26, ""seconds"": 0}]",Automatically generated sample recipe.
22,Slow-Cooked Vegetables,Breakfast,2,14,23,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 23, ""seconds"": 0}]",Automatically generated sample recipe.
23,Stir-Fried Salmon,Dinner,4,12,43,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 43, ""seconds"": 0}]",Automatically generated sample recipe.
24,Slow-Cooked Rice,Lunch,2,8,15,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 15, ""seconds"": 0}]",Automatically generated sample recipe.
25,Grilled Beef,Seafood,4,11,26,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 26, ""seconds"": 0}]",Automatically generated sample recipe.
26,Stir-Fried Pasta,Snack,6,18,13,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 13, ""seconds"": 0}]",Automatically generated sample recipe.
27,Grilled Pasta,Lunch,4,16,16,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 16, ""seconds"": 0}]",Automatically generated sample recipe.
28,Roasted Shrimp,Seafood,4,11,10,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 10, ""seconds"": 0}]",Automatically generated sample recipe.
29,Stir-Fried Tofu,Lunch,4,20,20,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 20, ""seconds"": 0}]",Automatically generated sample recipe.
30,Slow-Cooked Pasta,Lunch,6,15,40,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 40, ""seconds"": 0}]",Automatically generated sample recipe.
31,Grilled Chicken,Seafood,6,13,16,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 16, ""seconds"": 0}]",Automatically generated sample recipe.
32,Pan-Seared Tofu,Seafood,2,8,26,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 26, ""seconds"": 0}]",Automatically generated sample recipe.
33,Roasted Vegetables,Lunch,2,14,26,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 26, ""seconds"": 0}]",Automatically generated sample recipe.
34,Stir-Fried Vegetables,Dinner,2,13,35,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 35, ""seconds"": 0}]",Automatically generated sample recipe.
35,Baked Vegetables,Dinner,6,11,40,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 40, ""seconds"": 0}]",Automatically generated sample recipe.
36,Roasted Chicken,Dinner,2,13,27,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 27, ""seconds"": 0}]",Automatically generated sample recipe.
37,Slow-Cooked Vegetables,Breakfast,4,19,16,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 16, ""seconds"": 0}]",Automatically generated sample recipe.
38,Pan-Seared Pasta,Seafood,6,12,21,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 21, ""seconds"": 0}]",Automatically generated sample recipe.
39,Grilled Pasta,Dessert,4,12,35,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 35, ""seconds"": 0}]",Automatically generated sample recipe.
40,Baked Pasta,Breakfast,6,15,11,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 11, ""seconds"": 0}]",Automatically generated sample recipe.
41,Stir-Fried Pasta,Dessert,2,10,16,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 16, ""seconds"": 0}]",Automatically generated sample recipe.
42,Stir-Fried Beef,Dinner,4,16,27,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 27, ""seconds"": 0}]",Automatically generated sample recipe.
43,Roasted Vegetables,Vegan,6,14,23,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 23, ""seconds"": 0}]",Automatically generated sample recipe.
44,Grilled Tofu,Seafood,6,7,42,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 42, ""seconds"": 0}]",Automatically generated sample recipe.
45,Baked Lentils,Breakfast,4,11,34,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 34, ""seconds"": 0}]",Automatically generated sample recipe.
46,Pan-Seared Shrimp,Lunch,6,15,39,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 39, ""seconds"": 0}]",Automatically generated sample recipe.
47,Stewed Pork,Snack,6,8,32,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 32, ""seconds"": 0}]",Automatically generated sample recipe.
48,Stir-Fried Pork,Snack,2,7,17,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 17, ""seconds"": 0}]",Automatically generated sample recipe.
49,Grilled Lentils,Dessert,2,8,20,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 20, ""seconds"": 0}]",Automatically generated sample recipe.
50,Stir-Fried Pork,Dessert,6,6,31,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 31, ""seconds"": 0}]",Automatically generated sample recipe.
51,Pan-Seared Lentils,Dinner,4,8,40,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 40, ""seconds"": 0}]",Automatically generated sample recipe.
52,Slow-Cooked Salmon,Vegan,4,15,37,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 37, ""seconds"": 0}]",Automatically generated sample recipe.
53,Stir-Fried Salmon,Dessert,4,16,32,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 32, ""seconds"": 0}]",Automatically generated sample recipe.
54,Slow-Cooked Tofu,Snack,6,16,45,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 45, ""seconds"": 0}]",Automatically generated sample recipe.
55,Baked Shrimp,Lunch,6,16,20,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 20, ""seconds"": 0}]",Automatically generated sample recipe.
56,Stir-Fried Salmon,Lunch,6,14,32,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 32, ""seconds"": 0}]",Automatically generated sample recipe.
